year,country_code,country,burnt_area_ha,nr_fires,severity,avg_fire_size_ha,decade,risk_score,crisis_type,region,summary
1999,POL,Poland,8629.0,9820,MEDIUM,0.88,1990,0.158,wildfire,Northern/Eastern Europe,"In 1999, Poland recorded 9820 forest fires burning 8629 hectares. Severity: MEDIUM. Average fire size: 0.88 ha. Risk score: 0.158. This was a medium severity wildfire event in 1990s Europe."
2002,POL,Poland,5210.0,10101,MEDIUM,0.52,2000,0.158,wildfire,Northern/Eastern Europe,"In 2002, Poland recorded 10101 forest fires burning 5210 hectares. Severity: MEDIUM. Average fire size: 0.52 ha. Risk score: 0.158. This was a medium severity wildfire event in 2000s Europe."
2021,DZA,Algeria,100101.0,1631,EXTREME,61.37,2020,0.157,wildfire,Southern Europe,"In 2021, Algeria recorded 1631 forest fires burning 100101 hectares. Severity: EXTREME. Average fire size: 61.37 ha. Risk score: 0.157. This was a extreme severity wildfire event in 2020s Europe."
2018,SWE,Sweden,24310.0,8181,HIGH,2.97,2010,0.152,wildfire,Northern/Eastern Europe,"In 2018, Sweden recorded 8181 forest fires burning 24310 hectares. Severity: HIGH. Average fire size: 2.97 ha. Risk score: 0.152. This was a high severity wildfire event in 2010s Europe."
2024,ESP,Spain,47711.13,6134,HIGH,7.78,2020,0.151,wildfire,Southern Europe,"In 2024, Spain recorded 6134 forest fires burning 47711 hectares. Severity: HIGH. Average fire size: 7.78 ha. Risk score: 0.151. This was a high severity wildfire event in 2020s Europe."
2019,POL,Poland,3572.0,9635,LOW,0.37,2010,0.149,wildfire,Northern/Eastern Europe,"In 2019, Poland recorded 9635 forest fires burning 3572 hectares. Severity: LOW. Average fire size: 0.37 ha. Risk score: 0.149. This was a low severity wildfire event in 2010s Europe."
2012,POL,Poland,7235.0,9265,MEDIUM,0.78,2010,0.148,wildfire,Northern/Eastern Europe,"In 2012, Poland recorded 9265 forest fires burning 7235 hectares. Severity: MEDIUM. Average fire size: 0.78 ha. Risk score: 0.148. This was a medium severity wildfire event in 2010s Europe."
2009,POL,Poland,4400.0,9162,LOW,0.48,2000,0.143,wildfire,Northern/Eastern Europe,"In 2009, Poland recorded 9162 forest fires burning 4400 hectares. Severity: LOW. Average fire size: 0.48 ha. Risk score: 0.143. This was a low severity wildfire event in 2000s Europe."
1993,POL,Poland,8290.0,8821,MEDIUM,0.94,1990,0.142,wildfire,Northern/Eastern Europe,"In 1993, Poland recorded 8821 forest fires burning 8290 hectares. Severity: MEDIUM. Average fire size: 0.94 ha. Risk score: 0.142. This was a medium severity wildfire event in 1990s Europe."
2008,POL,Poland,3027.0,9090,LOW,0.33,2000,0.14,wildfire,Northern/Eastern Europe,"In 2008, Poland recorded 9090 forest fires burning 3027 hectares. Severity: LOW. Average fire size: 0.33 ha. Risk score: 0.14. This was a low severity wildfire event in 2000s Europe."
1996,POL,Poland,14537.0,7923,MEDIUM,1.83,1990,0.137,wildfire,Northern/Eastern Europe,"In 1996, Poland recorded 7923 forest fires burning 14537 hectares. Severity: MEDIUM. Average fire size: 1.83 ha. Risk score: 0.137. This was a medium severity wildfire event in 1990s Europe."
2018,POL,Poland,2696.0,8867,LOW,0.3,2010,0.136,wildfire,Northern/Eastern Europe,"In 2018, Poland recorded 8867 forest fires burning 2696 hectares. Severity: LOW. Average fire size: 0.3 ha. Risk score: 0.136. This was a low severity wildfire event in 2010s Europe."
2020,UKR,Ukraine,74623.0,2598,HIGH,28.72,2020,0.134,wildfire,Northern/Eastern Europe,"In 2020, Ukraine recorded 2598 forest fires burning 74623 hectares. Severity: HIGH. Average fire size: 28.72 ha. Risk score: 0.134. This was a high severity wildfire event in 2020s Europe."
2003,SWE,Sweden,4002.0,8282,LOW,0.48,2000,0.129,wildfire,Northern/Eastern Europe,"In 2003, Sweden recorded 8282 forest fires burning 4002 hectares. Severity: LOW. Average fire size: 0.48 ha. Risk score: 0.129. This was a low severity wildfire event in 2000s Europe."
2007,POL,Poland,2841.0,8302,LOW,0.34,2000,0.128,wildfire,Northern/Eastern Europe,"In 2007, Poland recorded 8302 forest fires burning 2841 hectares. Severity: LOW. Average fire size: 0.34 ha. Risk score: 0.128. This was a low severity wildfire event in 2000s Europe."
2011,POL,Poland,2678.0,8172,LOW,0.33,2010,0.126,wildfire,Northern/Eastern Europe,"In 2011, Poland recorded 8172 forest fires burning 2678 hectares. Severity: LOW. Average fire size: 0.33 ha. Risk score: 0.126. This was a low severity wildfire event in 2010s Europe."
2024,MKD,North Macedonia,61061.0,250,HIGH,244.24,2020,0.126,wildfire,Northern/Eastern Europe,"In 2024, North Macedonia recorded 250 forest fires burning 61061 hectares. Severity: HIGH. Average fire size: 244.24 ha. Risk score: 0.126. This was a high severity wildfire event in 2020s Europe."
2024,ITA,Italy,52623.0,3784,HIGH,13.91,2020,0.123,wildfire,Southern Europe,"In 2024, Italy recorded 3784 forest fires burning 52623 hectares. Severity: HIGH. Average fire size: 13.91 ha. Risk score: 0.123. This was a high severity wildfire event in 2020s Europe."
2014,DZA,Algeria,43125.0,4629,HIGH,9.32,2010,0.123,wildfire,Southern Europe,"In 2014, Algeria recorded 4629 forest fires burning 43125 hectares. Severity: HIGH. Average fire size: 9.32 ha. Risk score: 0.123. This was a high severity wildfire event in 2010s Europe."
1995,POL,Poland,5403.0,7678,MEDIUM,0.7,1990,0.122,wildfire,Northern/Eastern Europe,"In 1995, Poland recorded 7678 forest fires burning 5403 hectares. Severity: MEDIUM. Average fire size: 0.7 ha. Risk score: 0.122. This was a medium severity wildfire event in 1990s Europe."
2017,DZA,Algeria,53975.0,2992,HIGH,18.04,2010,0.113,wildfire,Southern Europe,"In 2017, Algeria recorded 2992 forest fires burning 53975 hectares. Severity: HIGH. Average fire size: 18.04 ha. Risk score: 0.113. This was a high severity wildfire event in 2010s Europe."
2000,HRV,Croatia,68171.0,706,HIGH,96.56,2000,0.112,wildfire,Northern/Eastern Europe,"In 2000, Croatia recorded 706 forest fires burning 68171 hectares. Severity: HIGH. Average fire size: 96.56 ha. Risk score: 0.112. This was a high severity wildfire event in 2000s Europe."
1997,POL,Poland,6766.0,6817,MEDIUM,0.99,1990,0.111,wildfire,Northern/Eastern Europe,"In 1997, Poland recorded 6817 forest fires burning 6766 hectares. Severity: MEDIUM. Average fire size: 0.99 ha. Risk score: 0.111. This was a medium severity wildfire event in 1990s Europe."
